date,state,fips,day_num,new,value,type,growth
2020-03-07,California,6,0,19,100,cases,0.2345679012345679
2020-03-07,California,6,0,0,1,deaths,0.0
2020-03-07,Washington,53,0,24,110,cases,0.27906976744186046
2020-03-07,Washington,53,0,4,16,deaths,0.3333333333333333
2020-03-08,California,6,1,12,112,cases,0.12
2020-03-08,California,6,1,0,1,deaths,0.0
2020-03-08,New York,36,0,17,106,cases,0.19101123595505617
2020-03-08,New York,36,0,0,0,deaths,
2020-03-08,Washington,53,1,31,141,cases,0.2818181818181818
2020-03-08,Washington,53,1,3,19,deaths,0.1875
2020-03-09,California,6,2,60,172,cases,0.5357142857142857
2020-03-09,California,6,2,1,2,deaths,1.0
2020-03-09,New York,36,1,36,142,cases,0.33962264150943394
2020-03-09,New York,36,1,0,0,deaths,
2020-03-09,Washington,53,2,38,179,cases,0.2695035460992908
2020-03-09,Washington,53,2,3,22,deaths,0.15789473684210525
2020-03-10,California,6,3,7,179,cases,0.040697674418604654
2020-03-10,California,6,3,1,3,deaths,0.5
2020-03-10,New York,36,2,31,173,cases,0.21830985915492956
2020-03-10,New York,36,2,0,0,deaths,
2020-03-10,Washington,53,3,100,279,cases,0.5586592178770949
2020-03-10,Washington,53,3,2,24,deaths,0.09090909090909091
2020-03-11,California,6,4,23,202,cases,0.12849162011173185
2020-03-11,California,6,4,1,4,deaths,0.3333333333333333
2020-03-11,New York,36,3,44,217,cases,0.2543352601156069
2020-03-11,New York,36,3,0,0,deaths,
2020-03-11,Washington,53,4,59,338,cases,0.2114695340501792
2020-03-11,Washington,53,4,5,29,deaths,0.20833333333333334
2020-03-12,California,6,5,50,252,cases,0.24752475247524752
2020-03-12,California,6,5,0,4,deaths,0.0
2020-03-12,Massachusetts,25,0,13,108,cases,0.1368421052631579
2020-03-12,Massachusetts,25,0,0,0,deaths,
2020-03-12,New York,36,4,109,326,cases,0.5023041474654378
2020-03-12,New York,36,4,0,0,deaths,
2020-03-12,Washington,53,5,81,419,cases,0.23964497041420119
2020-03-12,Washington,53,5,3,32,deaths,0.10344827586206896
2020-03-13,California,6,6,68,320,cases,0.2698412698412698
2020-03-13,California,6,6,1,5,deaths,0.25
2020-03-13,Massachusetts,25,1,15,123,cases,0.1388888888888889
2020-03-13,Massachusetts,25,1,0,0,deaths,
2020-03-13,New York,36,5,95,421,cases,0.29141104294478526
2020-03-13,New York,36,5,0,0,deaths,
2020-03-13,Washington,53,6,92,511,cases,0.21957040572792363
2020-03-13,Washington,53,6,5,37,deaths,0.15625
2020-03-14,California,6,7,61,381,cases,0.190625
2020-03-14,California,6,7,0,5,deaths,0.0
2020-03-14,Colorado,8,0,25,103,cases,0.32051282051282054
2020-03-14,Colorado,8,0,0,2,deaths,0.0
2020-03-14,Massachusetts,25,2,15,138,cases,0.12195121951219512
2020-03-14,Massachusetts,25,2,0,0,deaths,
2020-03-14,New York,36,6,189,610,cases,0.4489311163895487
2020-03-14,New York,36,6,2,2,deaths,
2020-03-14,Washington,53,7,98,609,cases,0.1917808219178082
2020-03-14,Washington,53,7,3,40,deaths,0.08108108108108109
2020-03-15,California,6,8,97,478,cases,0.2545931758530184
2020-03-15,California,6,8,1,6,deaths,0.2
2020-03-15,Colorado,8,1,33,136,cases,0.32038834951456313
2020-03-15,Colorado,8,1,0,2,deaths,0.0
2020-03-15,Florida,12,0,39,109,cases,0.5571428571428572
2020-03-15,Florida,12,0,0,3,deaths,0.0
2020-03-15,Louisiana,22,0,26,103,cases,0.33766233766233766
2020-03-15,Louisiana,22,0,1,2,deaths,1.0
2020-03-15,Massachusetts,25,3,26,164,cases,0.18840579710144928
2020-03-15,Massachusetts,25,3,0,0,deaths,
2020-03-15,New York,36,7,122,732,cases,0.2
2020-03-15,New York,36,7,4,6,deaths,2.0
2020-03-15,Washington,53,8,66,675,cases,0.10837438423645321
2020-03-15,Washington,53,8,2,42,deaths,0.05
2020-03-16,California,6,9,110,588,cases,0.2301255230125523
2020-03-16,California,6,9,5,11,deaths,0.8333333333333334
2020-03-16,Colorado,8,2,25,161,cases,0.18382352941176472
2020-03-16,Colorado,8,2,0,2,deaths,0.0
2020-03-16,Florida,12,1,32,141,cases,0.29357798165137616
2020-03-16,Florida,12,1,1,4,deaths,0.3333333333333333
2020-03-16,Georgia,13,0,21,118,cases,0.21649484536082475
2020-03-16,Georgia,13,0,0,1,deaths,0.0
2020-03-16,Illinois,17,0,10,104,cases,0.10638297872340426
2020-03-16,Illinois,17,0,0,0,deaths,
2020-03-16,Louisiana,22,1,34,137,cases,0.3300970873786408
2020-03-16,Louisiana,22,1,1,3,deaths,0.5
2020-03-16,Massachusetts,25,4,33,197,cases,0.20121951219512196
2020-03-16,Massachusetts,25,4,0,0,deaths,
2020-03-16,New Jersey,34,0,78,176,cases,0.7959183673469388
2020-03-16,New Jersey,34,0,1,3,deaths,0.5
2020-03-16,New York,36,8,218,950,cases,0.2978142076502732
2020-03-16,New York,36,8,4,10,deaths,0.6666666666666666
2020-03-16,Washington,53,9,119,794,cases,0.17629629629629628
2020-03-16,Washington,53,9,6,48,deaths,0.14285714285714285
2020-03-17,California,6,10,144,732,cases,0.24489795918367346
2020-03-17,California,6,10,3,14,deaths,0.2727272727272727
2020-03-17,Colorado,8,3,22,183,cases,0.13664596273291926
2020-03-17,Colorado,8,3,1,3,deaths,0.5
2020-03-17,Florida,12,2,69,210,cases,0.48936170212765956
2020-03-17,Florida,12,2,2,6,deaths,0.5
2020-03-17,Georgia,13,1,24,142,cases,0.2033898305084746
2020-03-17,Georgia,13,1,0,1,deaths,0.0
2020-03-17,Illinois,17,1,55,159,cases,0.5288461538461539
2020-03-17,Illinois,17,1,1,1,deaths,
2020-03-17,Louisiana,22,2,59,196,cases,0.4306569343065693
2020-03-17,Louisiana,22,2,2,5,deaths,0.6666666666666666
2020-03-17,Massachusetts,25,5,21,218,cases,0.1065989847715736
2020-03-17,Massachusetts,25,5,0,0,deaths,
2020-03-17,New Jersey,34,1,92,268,cases,0.5227272727272727
2020-03-17,New Jersey,34,1,0,3,deaths,0.0
2020-03-17,New York,36,9,424,1374,cases,0.4463157894736842
2020-03-17,New York,36,9,7,17,deaths,0.7
2020-03-17,Pennsylvania,42,0,20,101,cases,0.24691358024691357
2020-03-17,Pennsylvania,42,0,0,0,deaths,
2020-03-17,Texas,48,0,19,106,cases,0.21839080459770116
2020-03-17,Texas,48,0,0,1,deaths,0.0
2020-03-17,Washington,53,10,114,908,cases,0.14357682619647355
2020-03-17,Washington,53,10,6,54,deaths,0.125
2020-03-18,California,6,11,161,893,cases,0.21994535519125682
2020-03-18,California,6,11,3,17,deaths,0.21428571428571427
2020-03-18,Colorado,8,4,33,216,cases,0.18032786885245902
2020-03-18,Colorado,8,4,0,3,deaths,0.0
2020-03-18,Florida,12,3,116,326,cases,0.5523809523809524
2020-03-18,Florida,12,3,1,7,deaths,0.16666666666666666
2020-03-18,Georgia,13,2,51,193,cases,0.3591549295774648
2020-03-18,Georgia,13,2,2,3,deaths,2.0
2020-03-18,Illinois,17,2,127,286,cases,0.7987421383647799
2020-03-18,Illinois,17,2,0,1,deaths,0.0
2020-03-18,Louisiana,22,3,84,280,cases,0.42857142857142855
2020-03-18,Louisiana,22,3,2,7,deaths,0.4
2020-03-18,Massachusetts,25,6,38,256,cases,0.1743119266055046
2020-03-18,Massachusetts,25,6,0,0,deaths,
2020-03-18,New Jersey,34,2,159,427,cases,0.5932835820895522
2020-03-18,New Jersey,34,2,2,5,deaths,0.6666666666666666
2020-03-18,New York,36,10,1008,2382,cases,0.7336244541484717
2020-03-18,New York,36,10,10,27,deaths,0.5882352941176471
2020-03-18,Pennsylvania,42,1,38,139,cases,0.37623762376237624
2020-03-18,Pennsylvania,42,1,1,1,deaths,
2020-03-18,Texas,48,1,60,166,cases,0.5660377358490566
2020-03-18,Texas,48,1,1,2,deaths,1.0
2020-03-18,Washington,53,11,118,1026,cases,0.1299559471365639
2020-03-18,Washington,53,11,14,68,deaths,0.25925925925925924
2020-03-18,Wisconsin,55,0,34,106,cases,0.4722222222222222
2020-03-18,Wisconsin,55,0,0,0,deaths,
2020-03-19,California,6,12,174,1067,cases,0.1948488241881299
2020-03-19,California,6,12,2,19,deaths,0.11764705882352941
2020-03-19,Colorado,8,5,62,278,cases,0.28703703703703703
2020-03-19,Colorado,8,5,2,5,deaths,0.6666666666666666
2020-03-19,Connecticut,9,0,63,159,cases,0.65625
2020-03-19,Connecticut,9,0,3,4,deaths,3.0
2020-03-19,Florida,12,4,108,434,cases,0.3312883435582822
2020-03-19,Florida,12,4,1,8,deaths,0.14285714285714285
2020-03-19,Georgia,13,3,89,282,cases,0.46113989637305697
2020-03-19,Georgia,13,3,7,10,deaths,2.3333333333333335
2020-03-19,Illinois,17,3,134,420,cases,0.46853146853146854
2020-03-19,Illinois,17,3,3,4,deaths,3.0
2020-03-19,Louisiana,22,4,112,392,cases,0.4
2020-03-19,Louisiana,22,4,3,10,deaths,0.42857142857142855
2020-03-19,Maryland,24,0,23,108,cases,0.27058823529411763
2020-03-19,Maryland,24,0,0,1,deaths,0.0
2020-03-19,Massachusetts,25,7,72,328,cases,0.28125
2020-03-19,Massachusetts,25,7,0,0,deaths,
2020-03-19,Michigan,26,0,254,334,cases,3.175
2020-03-19,Michigan,26,0,2,3,deaths,2.0
2020-03-19,New Jersey,34,3,308,735,cases,0.7213114754098361
2020-03-19,New Jersey,34,3,4,9,deaths,0.8
2020-03-19,New York,36,11,1770,4152,cases,0.743073047858942
2020-03-19,New York,36,11,3,30,deaths,0.1111111111111111
2020-03-19,North Carolina,37,0,38,104,cases,0.5757575757575758
2020-03-19,North Carolina,37,0,0,0,deaths,
2020-03-19,Ohio,39,0,30,120,cases,0.3333333333333333
2020-03-19,Ohio,39,0,0,0,deaths,
2020-03-19,Pennsylvania,42,2,48,187,cases,0.34532374100719426
2020-03-19,Pennsylvania,42,2,0,1,deaths,0.0
2020-03-19,Tennessee,47,0,57,155,cases,0.5816326530612245
2020-03-19,Tennessee,47,0,0,0,deaths,
2020-03-19,Texas,48,2,82,248,cases,0.4939759036144578
2020-03-19,Texas,48,2,2,4,deaths,1.0
2020-03-19,Washington,53,12,202,1228,cases,0.1968810916179337
2020-03-19,Washington,53,12,7,75,deaths,0.10294117647058823
2020-03-19,Wisconsin,55,1,49,155,cases,0.46226415094339623
2020-03-19,Wisconsin,55,1,2,2,deaths,
2020-03-20,Alabama,1,0,28,106,cases,0.358974358974359
2020-03-20,Alabama,1,0,0,0,deaths,
2020-03-20,Arkansas,5,0,38,100,cases,0.6129032258064516
2020-03-20,Arkansas,5,0,0,0,deaths,
2020-03-20,California,6,13,216,1283,cases,0.20243673851921273
2020-03-20,California,6,13,5,24,deaths,0.2631578947368421
2020-03-20,Colorado,8,6,86,364,cases,0.30935251798561153
2020-03-20,Colorado,8,6,0,5,deaths,0.0
2020-03-20,Connecticut,9,1,35,194,cases,0.22012578616352202
2020-03-20,Connecticut,9,1,0,4,deaths,0.0
2020-03-20,Florida,12,5,130,564,cases,0.2995391705069124
2020-03-20,Florida,12,5,1,9,deaths,0.125
2020-03-20,Georgia,13,4,200,482,cases,0.7092198581560284
2020-03-20,Georgia,13,4,4,14,deaths,0.4
2020-03-20,Illinois,17,4,163,583,cases,0.3880952380952381
2020-03-20,Illinois,17,4,1,5,deaths,0.25
2020-03-20,Louisiana,22,5,145,537,cases,0.36989795918367346
2020-03-20,Louisiana,22,5,0,10,deaths,0.0
2020-03-20,Maryland,24,1,42,150,cases,0.3888888888888889
2020-03-20,Maryland,24,1,1,2,deaths,1.0
2020-03-20,Massachusetts,25,8,85,413,cases,0.25914634146341464
2020-03-20,Massachusetts,25,8,1,1,deaths,
2020-03-20,Michigan,26,1,214,548,cases,0.6407185628742516
2020-03-20,Michigan,26,1,1,4,deaths,0.3333333333333333
2020-03-20,Minnesota,27,0,26,115,cases,0.29213483146067415
2020-03-20,Minnesota,27,0,0,0,deaths,
2020-03-20,Nevada,32,0,66,165,cases,0.6666666666666666
2020-03-20,Nevada,32,0,1,2,deaths,1.0
2020-03-20,New Jersey,34,4,161,896,cases,0.21904761904761905
2020-03-20,New Jersey,34,4,2,11,deaths,0.2222222222222222
2020-03-20,New York,36,12,2950,7102,cases,0.7105009633911368
2020-03-20,New York,36,12,27,57,deaths,0.9
2020-03-20,North Carolina,37,1,40,144,cases,0.38461538461538464
2020-03-20,North Carolina,37,1,0,0,deaths,
2020-03-20,Ohio,39,1,49,169,cases,0.4083333333333333
2020-03-20,Ohio,39,1,1,1,deaths,
2020-03-20,Oregon,41,0,27,114,cases,0.3103448275862069
2020-03-20,Oregon,41,0,0,3,deaths,0.0
2020-03-20,Pennsylvania,42,3,82,269,cases,0.4385026737967914
2020-03-20,Pennsylvania,42,3,0,1,deaths,0.0
2020-03-20,South Carolina,45,0,45,126,cases,0.5555555555555556
2020-03-20,South Carolina,45,0,2,3,deaths,2.0
2020-03-20,Tennessee,47,1,82,237,cases,0.5290322580645161
2020-03-20,Tennessee,47,1,0,0,deaths,
2020-03-20,Texas,48,3,129,377,cases,0.5201612903225806
2020-03-20,Texas,48,3,1,5,deaths,0.25
2020-03-20,Utah,49,0,32,112,cases,0.4
2020-03-20,Utah,49,0,0,0,deaths,
2020-03-20,Virginia,51,0,21,115,cases,0.22340425531914893
2020-03-20,Virginia,51,0,0,2,deaths,0.0
2020-03-20,Washington,53,13,176,1404,cases,0.14332247557003258
2020-03-20,Washington,53,13,8,83,deaths,0.10666666666666667
2020-03-20,Wisconsin,55,2,61,216,cases,0.3935483870967742
2020-03-20,Wisconsin,55,2,1,3,deaths,0.5
2020-03-21,Alabama,1,1,25,131,cases,0.2358490566037736
2020-03-21,Alabama,1,1,0,0,deaths,
2020-03-21,Arizona,4,0,34,104,cases,0.4857142857142857
2020-03-21,Arizona,4,0,0,1,deaths,0.0
2020-03-21,Arkansas,5,1,18,118,cases,0.18
2020-03-21,Arkansas,5,1,0,0,deaths,
2020-03-21,California,6,14,261,1544,cases,0.2034294621979735
2020-03-21,California,6,14,4,28,deaths,0.16666666666666666
2020-03-21,Colorado,8,7,111,475,cases,0.30494505494505497
2020-03-21,Colorado,8,7,1,6,deaths,0.2
2020-03-21,Connecticut,9,2,29,223,cases,0.14948453608247422
2020-03-21,Connecticut,9,2,1,5,deaths,0.25
2020-03-21,Florida,12,6,200,764,cases,0.3546099290780142
2020-03-21,Florida,12,6,2,11,deaths,0.2222222222222222
2020-03-21,Georgia,13,5,70,552,cases,0.14522821576763487
2020-03-21,Georgia,13,5,6,20,deaths,0.42857142857142855
2020-03-21,Illinois,17,5,168,751,cases,0.2881646655231561
2020-03-21,Illinois,17,5,1,6,deaths,0.2
2020-03-21,Indiana,18,0,47,126,cases,0.5949367088607594
2020-03-21,Indiana,18,0,1,4,deaths,0.3333333333333333
2020-03-21,Louisiana,22,6,226,763,cases,0.4208566108007449
2020-03-21,Louisiana,22,6,6,16,deaths,0.6
2020-03-21,Maryland,24,2,45,195,cases,0.3
2020-03-21,Maryland,24,2,1,3,deaths,0.5
2020-03-21,Massachusetts,25,9,112,525,cases,0.2711864406779661
2020-03-21,Massachusetts,25,9,1,2,deaths,1.0
2020-03-21,Michigan,26,2,239,787,cases,0.43613138686131386
2020-03-21,Michigan,26,2,2,6,deaths,0.5
2020-03-21,Minnesota,27,1,23,138,cases,0.2
2020-03-21,Minnesota,27,1,1,1,deaths,
2020-03-21,Mississippi,28,0,60,140,cases,0.75
2020-03-21,Mississippi,28,0,0,1,deaths,0.0
2020-03-21,Nevada,32,1,0,165,cases,0.0
2020-03-21,Nevada,32,1,0,2,deaths,0.0
2020-03-21,New Jersey,34,5,440,1336,cases,0.49107142857142855
2020-03-21,New Jersey,34,5,5,16,deaths,0.45454545454545453
2020-03-21,New York,36,13,3254,10356,cases,0.4581807941424951
2020-03-21,New York,36,13,23,80,deaths,0.40350877192982454
2020-03-21,North Carolina,37,2,40,184,cases,0.2777777777777778
2020-03-21,North Carolina,37,2,0,0,deaths,
2020-03-21,Ohio,39,2,78,247,cases,0.46153846153846156
2020-03-21,Ohio,39,2,2,3,deaths,2.0
2020-03-21,Oregon,41,1,23,137,cases,0.20175438596491227
2020-03-21,Oregon,41,1,1,4,deaths,0.3333333333333333
2020-03-21,Pennsylvania,42,4,119,388,cases,0.4423791821561338
2020-03-21,Pennsylvania,42,4,1,2,deaths,1.0
2020-03-21,South Carolina,45,1,46,172,cases,0.36507936507936506
2020-03-21,South Carolina,45,1,0,3,deaths,0.0
2020-03-21,Tennessee,47,2,75,312,cases,0.31645569620253167
2020-03-21,Tennessee,47,2,2,2,deaths,
2020-03-21,Texas,48,4,170,547,cases,0.4509283819628647
2020-03-21,Texas,48,4,0,5,deaths,0.0
2020-03-21,Utah,49,1,26,138,cases,0.23214285714285715
2020-03-21,Utah,49,1,0,0,deaths,
2020-03-21,Virginia,51,1,37,152,cases,0.3217391304347826
2020-03-21,Virginia,51,1,1,3,deaths,0.5
2020-03-21,Washington,53,14,251,1655,cases,0.1787749287749288
2020-03-21,Washington,53,14,12,95,deaths,0.14457831325301204
2020-03-21,Wisconsin,55,3,65,281,cases,0.30092592592592593
2020-03-21,Wisconsin,55,3,1,4,deaths,0.3333333333333333
2020-03-22,Alabama,1,2,26,157,cases,0.1984732824427481
2020-03-22,Alabama,1,2,0,0,deaths,
2020-03-22,Arizona,4,1,49,153,cases,0.47115384615384615
2020-03-22,Arizona,4,1,1,2,deaths,1.0
2020-03-22,Arkansas,5,2,47,165,cases,0.3983050847457627
2020-03-22,Arkansas,5,2,0,0,deaths,
2020-03-22,California,6,15,307,1851,cases,0.19883419689119172
2020-03-22,California,6,15,7,35,deaths,0.25
2020-03-22,Colorado,8,8,116,591,cases,0.24421052631578946
2020-03-22,Colorado,8,8,1,7,deaths,0.16666666666666666
2020-03-22,Connecticut,9,3,104,327,cases,0.4663677130044843
2020-03-22,Connecticut,9,3,3,8,deaths,0.6
2020-03-22,District of Columbia,11,0,18,116,cases,0.1836734693877551
2020-03-22,District of Columbia,11,0,1,2,deaths,1.0
2020-03-22,Florida,12,7,236,1000,cases,0.3089005235602094
2020-03-22,Florida,12,7,2,13,deaths,0.18181818181818182
2020-03-22,Georgia,13,6,68,620,cases,0.12318840579710146
2020-03-22,Georgia,13,6,5,25,deaths,0.25
2020-03-22,Illinois,17,6,296,1047,cases,0.3941411451398136
2020-03-22,Illinois,17,6,3,9,deaths,0.5
2020-03-22,Indiana,18,1,75,201,cases,0.5952380952380952
2020-03-22,Indiana,18,1,2,6,deaths,0.5
2020-03-22,Kentucky,21,0,19,103,cases,0.2261904761904762
2020-03-22,Kentucky,21,0,0,3,deaths,0.0
2020-03-22,Louisiana,22,7,74,837,cases,0.09698558322411534
2020-03-22,Louisiana,22,7,4,20,deaths,0.25
2020-03-22,Maryland,24,3,50,245,cases,0.2564102564102564
2020-03-22,Maryland,24,3,0,3,deaths,0.0
2020-03-22,Massachusetts,25,10,121,646,cases,0.23047619047619047
2020-03-22,Massachusetts,25,10,3,5,deaths,1.5
2020-03-22,Michigan,26,3,246,1033,cases,0.312579415501906
2020-03-22,Michigan,26,3,3,9,deaths,0.5
2020-03-22,Minnesota,27,2,33,171,cases,0.2391304347826087
2020-03-22,Minnesota,27,2,0,1,deaths,0.0
2020-03-22,Mississippi,28,1,67,207,cases,0.4785714285714286
2020-03-22,Mississippi,28,1,0,1,deaths,0.0
2020-03-22,Missouri,29,0,37,130,cases,0.3978494623655914
2020-03-22,Missouri,29,0,0,3,deaths,0.0
2020-03-22,Nevada,32,2,25,190,cases,0.15151515151515152
2020-03-22,Nevada,32,2,0,2,deaths,0.0
2020-03-22,New Jersey,34,6,578,1914,cases,0.43263473053892215
2020-03-22,New Jersey,34,6,4,20,deaths,0.25
2020-03-22,New York,36,14,4812,15168,cases,0.4646581691772885
2020-03-22,New York,36,14,42,122,deaths,0.525
2020-03-22,North Carolina,37,3,85,269,cases,0.46195652173913043
2020-03-22,North Carolina,37,3,0,0,deaths,
2020-03-22,Ohio,39,3,104,351,cases,0.42105263157894735
2020-03-22,Ohio,39,3,0,3,deaths,0.0
2020-03-22,Oregon,41,2,24,161,cases,0.17518248175182483
2020-03-22,Oregon,41,2,1,5,deaths,0.25
2020-03-22,Pennsylvania,42,5,116,504,cases,0.29896907216494845
2020-03-22,Pennsylvania,42,5,1,3,deaths,0.5
2020-03-22,South Carolina,45,2,22,194,cases,0.12790697674418605
2020-03-22,South Carolina,45,2,0,3,deaths,0.0
2020-03-22,Tennessee,47,3,112,424,cases,0.358974358974359
2020-03-22,Tennessee,47,3,0,2,deaths,0.0
2020-03-22,Texas,48,5,85,632,cases,0.15539305301645337
2020-03-22,Texas,48,5,2,7,deaths,0.4
2020-03-22,Utah,49,2,44,182,cases,0.3188405797101449
2020-03-22,Utah,49,2,1,1,deaths,
2020-03-22,Virginia,51,2,67,219,cases,0.4407894736842105
2020-03-22,Virginia,51,2,3,6,deaths,1.0
2020-03-22,Washington,53,15,189,1844,cases,0.11419939577039274
2020-03-22,Washington,53,15,2,97,deaths,0.021052631578947368
2020-03-22,Wisconsin,55,4,101,382,cases,0.3594306049822064
2020-03-22,Wisconsin,55,4,0,4,deaths,0.0
2020-03-23,Alabama,1,3,39,196,cases,0.2484076433121019
2020-03-23,Alabama,1,3,0,0,deaths,
2020-03-23,Arizona,4,2,81,234,cases,0.5294117647058824
2020-03-23,Arizona,4,2,0,2,deaths,0.0
2020-03-23,Arkansas,5,3,36,201,cases,0.21818181818181817
2020-03-23,Arkansas,5,3,0,0,deaths,
2020-03-23,California,6,16,389,2240,cases,0.2101566720691518
2020-03-23,California,6,16,4,39,deaths,0.11428571428571428
2020-03-23,Colorado,8,9,130,721,cases,0.21996615905245348
2020-03-23,Colorado,8,9,3,10,deaths,0.42857142857142855
2020-03-23,Connecticut,9,4,88,415,cases,0.2691131498470948
2020-03-23,Connecticut,9,4,2,10,deaths,0.25
2020-03-23,District of Columbia,11,1,22,138,cases,0.1896551724137931
2020-03-23,District of Columbia,11,1,0,2,deaths,0.0
2020-03-23,Florida,12,8,222,1222,cases,0.222
2020-03-23,Florida,12,8,5,18,deaths,0.38461538461538464
2020-03-23,Georgia,13,7,180,800,cases,0.2903225806451613
2020-03-23,Georgia,13,7,0,25,deaths,0.0
2020-03-23,Illinois,17,7,238,1285,cases,0.22731614135625597
2020-03-23,Illinois,17,7,3,12,deaths,0.3333333333333333
2020-03-23,Indiana,18,2,58,259,cases,0.2885572139303483
2020-03-23,Indiana,18,2,1,7,deaths,0.16666666666666666
2020-03-23,Iowa,19,0,15,105,cases,0.16666666666666666
2020-03-23,Iowa,19,0,0,0,deaths,
2020-03-23,Kentucky,21,1,21,124,cases,0.20388349514563106
2020-03-23,Kentucky,21,1,0,3,deaths,0.0
2020-03-23,Louisiana,22,8,335,1172,cases,0.4002389486260454
2020-03-23,Louisiana,22,8,14,34,deaths,0.7
2020-03-23,Maine,23,0,18,107,cases,0.20224719101123595
2020-03-23,Maine,23,0,0,0,deaths,
2020-03-23,Maryland,24,4,45,290,cases,0.1836734693877551
2020-03-23,Maryland,24,4,0,3,deaths,0.0
2020-03-23,Massachusetts,25,11,131,777,cases,0.20278637770897834
2020-03-23,Massachusetts,25,11,0,5,deaths,0.0
2020-03-23,Michigan,26,4,291,1324,cases,0.28170377541142305
2020-03-23,Michigan,26,4,7,16,deaths,0.7777777777777778
2020-03-23,Minnesota,27,3,64,235,cases,0.3742690058479532
2020-03-23,Minnesota,27,3,0,1,deaths,0.0
2020-03-23,Mississippi,28,2,42,249,cases,0.2028985507246377
2020-03-23,Mississippi,28,2,0,1,deaths,0.0
2020-03-23,Missouri,29,1,53,183,cases,0.4076923076923077
2020-03-23,Missouri,29,1,1,4,deaths,0.3333333333333333
2020-03-23,Nevada,32,3,75,265,cases,0.39473684210526316
2020-03-23,Nevada,32,3,2,4,deaths,1.0
2020-03-23,New Hampshire,33,0,23,101,cases,0.2948717948717949
2020-03-23,New Hampshire,33,0,1,1,deaths,
2020-03-23,New Jersey,34,7,930,2844,cases,0.48589341692789967
2020-03-23,New Jersey,34,7,7,27,deaths,0.35
2020-03-23,New York,36,15,5707,20875,cases,0.3762526371308017
2020-03-23,New York,36,15,37,159,deaths,0.30327868852459017
